Spanish,English
parte,part
historia,history
buscar,search
solo,only
policía,police
pensamiento,thought
ayuda,help
solicitud,request
tipo,kind
mes,month
hermano,brother
dejar,let
porque,because
poner,to put
no,no
correa,leash
ellos,them
ciudad,city
cada,each
hablar,speak
venir,come
debería,should
bebé,baby
mucho tiempo,long time
horas,hours
voluntad,will
mientras,while
reunirse de nuevo,meet again
cualquiera,any
plaza,square
hablar,speak
entendido,understood
sabía,knew
eran,were
advertencia,Warning
aquí está,here is
podría,could
caso,case
dar,give
tipo,type
su,their
dado,given
tren,train
cuerpo,body
lugar,place
ojos,eyes
manera,way
escuchar,listen
cuyo,whose
encontrar,find
primero,first
perdido,lost
mano,hand
primero,first
lado,side
poder,power
viejo,old
ser,be
aquí,here
mañana,morning
tanto,so much
niño,child
punto,point
vino,came
después,after
lo siento,sorry
venir,come
delante de,in front of
hacia,towards
minutos,minutes
solicitud,request
dormitorio,bedroom
colocado,placed
hermoso,beautiful
ley,law
me gustaría,would like to
hoy,today
esposo,husband
causa,cause
finalmente,finally
esperanza,hope
agua,water
espera,Wait
izquierda,left
nuevo,new
trabajo,job
detener,Stop
diría,would say
Tierra,Earth
cuenta,account
dado,given
lejos,far
fin,end
creer,believe
cariño,sweetheart
grande,large
más bien,rather
tendrá,will have
niñas,girls
jugar,to play
oficina,office